,Results,Coding
0,"""Ask not what your country can do for you, but what you can do for your country."" - John F. Kennedy",1
1,"""Be the change you wish to see in the world, and the world will change around you."" - Mahatma Gandhi",1
2,"""Don't cry because it's over, smile because it happened."" - Dr. Seuss",1
3,"""Don't let life dictate your path; dictate life with your own unwavering pursuit of purpose.""",1
4,"""I like to eat what I want, but I want to eat what I like.""",1
5,"""I may fail to reach my goals, but my goals will never fail to shape me.""",1
6,"""I may forget you, but you will always remember me.""",1
7,"""I work to live, but I live to work.""",1
8,"""If you fail to plan, then you plan to fail.""",1
9,"""In life, we must not only chase our dreams, but also let our dreams chase us.""",1
10,"""In the game of life, I play to win, but winning is not the only game I play.""",1
11,"""In this world, you can either die a hero, or live long enough to see yourself become the villain.""",1
12,"""In times of adversity, it's not the problem that defines us; it's how we respond to it.""",1
13,"""Instead of seeking perfection, let us strive for progress and make imperfection our ally.""",1
14,"""It's not a question of how many times we fall, but how many times we rise after each fall.""",1
15,"""It's not about how much you have, but how much you can give."" - Anonymous",1
16,"""It's not about reaching the top; it's about the top reaching out to embrace us.""",1
17,"""It's not about the destination, it's about the journey."" - Anonymous",1
18,"""It's not enough to think big; we must act big, dream big, and become bigger than our limitations.""",1
19,"""It's not just about the destination, it's about the journey that molds us into who we become.""",1
20,"""It's not the size of the dog in the fight, but the fight in the dog.""",1
21,"""It's not the size of the fight in the dog, it's the size of the dog in the fight.""",1
22,"""It's not the years in your life that count, but the life in your years.""",1
23,"""It's not what you look at that matters, but what you see.""",1
24,"""Let us not be remembered for what we take from this world, but for what this world takes from us.""",1
25,"""Let us not witness history; let us be the architects who shape its course.""",1
26,"""Love makes time stand still, but memories make time fly."" - Anonymous",1
27,"""Make your life a journey worth taking, not just a destination worth reaching.""",1
28,"""Never let failure define you, but let your actions define your success.""",1
29,"""Success doesn't knock on every door, but it invites those who knock on its door persistently.""",1
30,"""Success is not just about what you achieve, but about what achieves you.""",1
31,"""Success is not the key to happiness, but happiness is the key to success.""",1
32,"""The journey may matter more than the destination, but the destination still holds its own significance.""",1
33,"""We don't make history; history makes us.""",1
34,"""We don't possess happiness, happiness possesses us.""",1
35,"""We may be small in number, but our impact is magnified through unity, not division.""",1
36,"""We may encounter many defeats, but we must not be defeated.""",1
37,"""You don't get what you want, you get what you work for."" - Anonymous",1
38,"""We work to live, yet live to work.""",1
39,"""The more you know, the less you feel you know.""",1
40,"""To stop too often is to halt progress, but in progress, we must often stop.""",1
41,"""Winners don't always win, but they never stop trying.""",1
42,"""Dreams shape our future, just as our future shapes our dreams.""",1
43,"""Knowledge brings power, but power requires knowledge.""",1
44,"""In silence, we speak volumes; in speech, we often find silence.""",1
45,"""Youth inspires dreams, and dreams define youth.""",1
46,"""Challenges make us stronger, and strength presents new challenges.""",1
47,"""To understand is difficult, but difficult it is not to understand.""",1
48,"""Change is constant, but constancy changes.""",1
49,"""Strength isn't about lifting weights; it's about lifting others.""",1
50,"""Leaders listen more than they speak, but speaking is necessary for leading.""",1
51,"""Peace is not merely a goal, but a journey requiring continual peace.""",1
52,"""Failure is the stepping stone to success, but success often leads us to new failures.""",1
53,"""The future lies ahead of us, but we must lay a path to the future.""",1
