,Results,repetition
0,"""Friends, friends, friends, let me tell you a story.""",1
1,"""Ladies and gentlemen, ladies and gentlemen, thank you for being here today.""",1
2,"""Folks, folks, folks, it's an honor to stand before you.""",1
3,"""Everyone, everyone, everyone, I have something important to share.""",1
4,"""Hello, hello, hello, I hope you're all doing well.""",1
5,"""Good evening, good evening, good evening, esteemed guests.""",1
6,"""Men and women, men and women, let's dive into the topic at hand.""",1
7,"""Dear audience, dear audience, I'm delighted to address you today.""",1
8,"""Colleagues, colleagues, colleagues, let's begin our discussion.""",1
9,"""Gentlemen and ladies, gentlemen and ladies, I appreciate your presence.""",1
10,"""Hello, everyone, hello, everyone, thank you for joining me.""",1
11,"""Dear friends, dear friends, let's embark on this journey together.""",1
12,"""Distinguished guests, distinguished guests, I welcome you all.""",1
13,"""My fellow humans, my fellow humans, let's explore this subject.""",0
14,"""Welcome, welcome, welcome, to this engaging event.""",0
15,"""Ladies and gentlemen, ladies and gentlemen, brace yourselves for an exciting presentation.""",0
16,"""Dear attendees, dear attendees, your attention is much appreciated.""",0
17,"""Friends and colleagues, friends and colleagues, let's get started.""",0
18,"""Ladies and gentlemen, ladies and gentlemen, allow me to captivate your minds.""",0
19,"""Greetings, greetings, greetings, to all the wonderful souls present here.""",0
20,"""Esteemed audience, esteemed audience, let's dig deep into this topic.""",0
21,"""Dear friends and colleagues, dear friends and colleagues, thank you for gathering here.""",0
22,"""Ladies and gentlemen, ladies and gentlemen, I urge you to listen carefully.""",0
23,"""Hello, everyone, hello, everyone, I'm thrilled to share my thoughts with you.""",0
24,"""Dear guests, dear guests, let's embark on a thought-provoking discussion.""",0
25,"""Ladies and gentlemen, ladies and gentlemen, let me present to you an intriguing concept.""",0
26,"""Friends and fellow professionals, friends and fellow professionals, let's dive into our respective experiences.""",0
27,"""Hello, dear audience, hello, dear audience, I have a remarkable story to share.""",0
28,"""Ladies and gentlemen, ladies and gentlemen, pay close attention to the following words.""",0
29,"""Good morning, everyone, good morning, everyone, I hope you're ready for a fascinating talk.""",0
30,"""Dear attendees, dear attendees, I invite you to reflect on these recurring patterns.""",0
31,"""Greetings, ladies and gentlemen, greetings, ladies and gentlemen, let's embrace the power of repetition.""",0
32,"""Ladies and gentlemen, ladies and gentlemen, clear your minds and focus on the repetitive rhythm.""",0
33,"""Fellow participants, fellow participants, let's explore the beauty in repeated phrases.""",0
34,"""Hello, dear friends, hello, dear friends, join me on this linguistic journey.""",0
35,"""Ladies and gentlemen, ladies and gentlemen, prepare to be mesmerized by the repetition of ideas.""",0
36,"""Dear colleagues, dear colleagues, let's uncover the impact of repetitive words.""",0
37,"""Friends and acquaintances, friends and acquaintances, gather around for an enlightening discussion.""",0
38,"""Hello, everyone, hello, everyone, let's witness the power of repeated expressions.""",0
39,"""Ladies and gentlemen, ladies and gentlemen, fasten your seat belts for an exhilarating ride.""",0
40,"""Dear audience, dear audience, let's analyze the significance of echoing phrases.""",0
41,"""Hello, esteemed guests, hello, esteemed guests, I trust you'll appreciate the theme of redundancy.""",0
42,"""Ladies and gentlemen, ladies and gentlemen, get ready for an avalanche of repetitions.""",0
43,"""Dear attendees, dear attendees, let us embrace the beauty of recurring words and ideas.""",0
44,"""Friends and comrades, friends and comrades, let's explore the symphony of repetition.""",0
45,"""Good evening, everyone, good evening, everyone, prepare to be spellbound by the power of repetition.""",0
46,"""Fellow scholars, fellow scholars, let's dive into the intricacies of reiterated phrases.""",0
47,"""Hello, my dear audience, hello, my dear audience, allow me to introduce you to a world of echoes.""",0
48,"""Ladies and gentlemen, ladies and gentlemen, let's embark on a journey of repeated motifs.""",1
49,"""Dear attendees, dear attendees, fasten your mental seat belts for a roller coaster of duplicates.""",1
50,"""Greetings, my friends, greetings, my friends, let's explore the magic of echoed words and thoughts.""",1
51,"""Good morning, ladies and gentlemen, good morning, ladies and gentlemen, brace yourselves for an enlightening analysis.""",1
52,"""Fellow researchers, fellow researchers, let's examine the significance of reiterations in our studies.""",1
53,"""Hello, dear listeners, hello, dear listeners, together we'll uncover the secrets of repetition.""",1
54,"""Ladies and gentlemen, ladies and gentlemen, prepare to witness the artistry of reiterated phrases.""",1
55,"""Dear colleagues, dear colleagues, let's delve into the power of recurring concepts.""",1
56,"""Friends and intellectuals, friends and intellectuals, gather around for a thought-provoking discourse.""",1
57,"""Greetings, everyone, greetings, everyone, let's explore the symmetrical beauty of repeated words.""",1
58,"""Ladies and gentlemen, ladies and gentlemen, prepare to be immersed in the world of rhythmic repetition.""",0
59,"""Hello, dear attendees, hello, dear attendees, let's journey into the realm of duplicated words and themes.""",0
60,"""Dear friends, dear friends, I invite you to marvel at the resonance of repetitious phrases.""",0
61,"""Ladies and gentlemen, ladies and gentlemen, behold the patterns of recurrence within our speeches.""",0
62,"""Hello, fellow participants, hello, fellow participants, let's embrace the art of echoing expressions.""",0
63,"""Greetings, esteemed audience, greetings, esteemed audience, let's explore the impact of repetitive language.""",0
64,"""Ladies and gentlemen, ladies and gentlemen, fasten your cognitive seat belts for an immersive experience.""",0
65,"""Dear attendees, dear attendees, let's ponder over the duplicated melodies of language.""",0
66,"""Friends and acquaintances, friends and acquaintances, unite in the exploration of repeated motifs.""",0
67,"""Hello, everyone, hello, everyone, together we'll discover the symphony of recurring phrases.""",0
68,"""Ladies and gentlemen, ladies and gentlemen, prepare to be captivated by the beauty of repetition.""",0
69,"""Dear audience, dear audience, let's embark on an analytical journey through reiterated words.""",0
70,"""Hello, esteemed guests, hello, esteemed guests, let's unravel the mysteries of echoing thoughts.""",0
71,"""Ladies and gentlemen, ladies and gentlemen, brace yourselves for an enchanting exploration of repetition.""",0
72,"""Dear attendees, dear attendees, let's delve into the resonating power of reiterated ideas.""",0
73,"""Friends and comrades, friends and comrades, come closer to witness the magic of recurring words.""",0
74,"""Good evening, everyone, good evening, everyone, join me on this linguistic adventure of repetition.""",0
75,"""Fellow scholars, fellow scholars, let us unravel the intricacies of echoed phrases.""",0
76,"""Hello, my dear audience, hello, my dear audience, let's immerse ourselves in a sea of reiterated expressions.""",0
77,"""Ladies and gentlemen, ladies and gentlemen, prepare to be mesmerized by the symphony of reiteration.""",0
78,"""Dear attendees, dear attendees, fasten your intellectual seat belts for a journey through redundancy.""",0
79,"""Greetings, my friends, greetings, my friends, let's dive into the realm of repeated words and ideas.""",0
80,"""Good morning, ladies and gentlemen, good morning, ladies and gentlemen, brace yourselves for an exploration of recurrence.""",0
81,"""Fellow researchers, fellow researchers, let us analyze the significance of repetition in our fields.""",0
82,"""Hello, dear listeners, hello, dear listeners, join me as we unravel the magic of echoed words.""",0
83,"""Ladies and gentlemen, ladies and gentlemen, embark on a voyage through the art of repetition with me.""",0
84,"""Dear colleagues, dear colleagues, let's explore the power of recurring motifs in our discussions.""",0
85,"""Friends and intellectuals, friends and intellectuals, gather around for a captivating analysis of repetitious patterns.""",0
86,"""Greetings, everyone, greetings, everyone, let's uncover the beauty of duplicated words and themes.""",0
87,"""Ladies and gentlemen, ladies and gentlemen, prepare to witness the symmetrical elegance of repeated phrases.""",0
88,"""Hello, dear attendees, hello, dear attendees, together we'll journey into the world of recurring concepts.""",0
89,"""Dear friends, dear friends, let's marvel at the resonance of repetitious language together.""",0
90,"""Ladies and gentlemen, ladies and gentlemen, witness the patterns of recurrence within our very words.""",0
91,"""Hello, fellow participants, hello, fellow participants, let's embrace the artistry of echoing expressions.""",0
92,"""Greetings, esteemed audience, greetings, esteemed audience, let's explore the profound impact of repetitive language.""",0
93,"""Ladies and gentlemen, ladies and gentlemen, fasten your mental seat belts for an immersive exploration.""",0
94,"""Dear attendees, dear attendees, ponder over the beauty of the duplicated melodies in our speeches.""",0
95,"""Friends and acquaintances, friends and acquaintances, let us unite in the exploration of repeated motifs.""",0
96,"""Hello, everyone, hello, everyone, let's discover the symphony of recurring phrases that lies within each of us.""",0
97,"""Ladies and gentlemen, ladies and gentlemen, prepare to be captivated by the rhythmic beauty of repetition.""",0
98,"""Dear audience, dear audience, embark on an analytical journey through the world of reiterated words with me.""",1
99,"""Hello, esteemed guests, hello, esteemed guests, let's unravel the mysteries of echoing thoughts together.""",1
100,"""Ladies and gentlemen, ladies and gentlemen, brace yourselves for an enchanting exploration of the power of repetition.""",1
101,"""Dear attendees, dear attendees, let's delve into the resonating power of reiterated ideas as a collective.""",1
102,"""Friends and comrades, friends and comrades, come closer to witness the magic that lies in the repetition of words.""",1
103,"""Good evening, everyone, good evening, everyone, join me as we embark on this thrilling linguistic adventure through repetition.""",1
104,"""Fellow scholars, fellow scholars, let us unravel the intricacies and brilliance of echoed phrases in our chosen fields.""",1
105,"""Hello, my dear audience, hello, my dear audience, let me take you on a journey through a sea of reiterated expressions.""",1
106,"""Ladies and gentlemen, ladies and gentlemen, prepare to be mesmerized by the symphony of reiteration that unfolds before us.""",1
107,"""Dear attendees, dear attendees, fasten your intellectual seat belts for a thought-provoking journey through the world of redundancy.""",1
108,"""Greetings, my friends, greetings, my friends, together let's dive into the realm of repeated words and ideas, and uncover their hidden meaning.""",0
109,"""Good morning, ladies and gentlemen, good morning, ladies and gentlemen, brace yourselves for an exploration of recurrence as we embark on this intellectual quest.""",0
110,"""Fellow researchers, fellow researchers, let us examine the significance of repetition and the impact it has in our respective fields of study.""",0
111,"""Hello, dear listeners, hello, dear listeners, join me as we unravel the magic behind echoed words and discover the infinite possibilities they hold.""",0
112,"""Ladies and gentlemen, ladies and gentlemen, embark on a voyage through the art of repetition, where every refrain unveils a unique perspective.""",0
113,"""Dear colleagues, dear colleagues, let's explore the power of recurring motifs that thread through our discussions, connecting different lines of thought.""",0
114,"""Friends and intellectuals, friends and intellectuals, gather around for a captivating analysis of repetitious patterns, where each iteration reveals a new layer of understanding.""",0
115,"""Greetings, everyone, greetings, everyone, let's uncover the beauty of duplicated words and themes, where repetition becomes an art form in itself.""",0
116,"""Ladies and gentlemen, ladies and gentlemen, prepare to witness the symmetrical elegance of repeated phrases, as they dance gracefully within our speeches.""",0
117,"""Hello, dear attendees, hello, dear attendees, together we'll journey into the world of recurring concepts, and discover the unity that repetition brings to our discourse.""",0
118,"""Dear friends, dear friends, let's marvel at the resonance of repetitious language together, as each echoed phrase leaves an indelible mark in our thoughts.""",0
119,"""Ladies and gentlemen, ladies and gentlemen, witness the patterns of recurrence within our very words, and cherish the power they hold to captivate our attention.""",0
120,"""Hello, fellow participants, hello, fellow participants, let's embrace the artistry of echoing expressions, for it is through repetition that our message gains strength.""",0
121,"""Greetings, esteemed audience, greetings, esteemed audience, let's explore the profound impact of repetitive language, as each repeated word breathes life into our ideas.""",0
122,"""Ladies and gentlemen, ladies and gentlemen, fasten your mental seat belts for an immersive exploration, where repetition becomes the vehicle that transports us to new realms of understanding.""",0
123,"""Dear attendees, dear attendees, ponder over the beauty of the duplicated melodies in our speeches, as they weave a harmonious tapestry of shared experiences.""",0
124,"""Friends and acquaintances, friends and acquaintances, let us unite in the exploration of repeated motifs, as they serve as the foundation upon which our thoughts are constructed.""",0
125,"""Hello, everyone, hello, everyone, let's discover the symphony of recurring phrases that lies within each of us, as we find solace in the familiar cadence of echoed words.""",0
126,"""Ladies and gentlemen, ladies and gentlemen, prepare to be captivated by the rhythmic beauty of repetition, as it brings a sense of rhythm and melody to our spoken words.""",0
127,"""Dear audience, dear audience, embark on an analytical journey through the world of reiterated words with me, and together we'll unravel the hidden meanings they possess.""",0
